date,machine_name,region_id,sex,sdi,baseline_days,status
2016-07-29,ETHOSCOPE_008,13,M,0,3,OK
2016-07-29,ETHOSCOPE_008,14,M,10,3,OK
2016-07-29,ETHOSCOPE_008,15,M,0,3,OK
2016-07-29,ETHOSCOPE_008,16,M,10,3,OK
2016-07-29,ETHOSCOPE_008,17,M,0,3,OK
2016-07-29,ETHOSCOPE_008,18,M,10,3,OK
2016-07-29,ETHOSCOPE_008,19,M,0,3,OK
2016-07-29,ETHOSCOPE_008,20,M,10,3,OK
2016-07-29,ETHOSCOPE_009,1,F,10,3,OK
2016-07-29,ETHOSCOPE_009,2,F,0,3,OK
2016-07-29,ETHOSCOPE_009,3,F,10,3,OK
2016-07-29,ETHOSCOPE_009,4,F,0,3,OK
2016-07-29,ETHOSCOPE_009,5,F,10,3,OK
2016-07-29,ETHOSCOPE_009,6,F,0,3,OK
2016-07-29,ETHOSCOPE_009,7,F,10,3,OK
2016-07-29,ETHOSCOPE_009,8,F,0,3,OK
2016-07-29,ETHOSCOPE_009,9,F,10,3,OK
2016-07-29,ETHOSCOPE_009,10,F,0,3,OK
2016-07-29,ETHOSCOPE_009,11,F,0,3,OK
2016-07-29,ETHOSCOPE_009,12,F,10,3,OK
2016-07-29,ETHOSCOPE_009,13,F,0,3,OK
2016-07-29,ETHOSCOPE_009,14,F,10,3,OK
2016-07-29,ETHOSCOPE_009,15,F,0,3,OK
2016-07-29,ETHOSCOPE_009,16,F,10,3,OK
2016-07-29,ETHOSCOPE_009,17,F,0,3,OK
2016-07-29,ETHOSCOPE_009,18,F,10,3,OK
2016-07-29,ETHOSCOPE_009,19,F,0,3,OK
2016-07-29,ETHOSCOPE_009,20,F,10,3,OK
2016-07-29,ETHOSCOPE_011,1,M,10,3,OK
2016-07-29,ETHOSCOPE_011,2,M,0,3,OK
2016-07-29,ETHOSCOPE_011,3,M,10,3,OK
2016-07-29,ETHOSCOPE_011,4,M,0,3,OK
2016-07-29,ETHOSCOPE_011,5,M,10,3,OK
