date,machine_name,region_id,sex,uid,status,baseline_days
2017-01-23,ETHOSCOPE_018,1,M,261,OK,4
2017-01-23,ETHOSCOPE_018,2,M,262,OK,4
2017-01-23,ETHOSCOPE_018,3,M,263,OK,4
2017-01-23,ETHOSCOPE_018,4,M,264,OK,4
2017-01-23,ETHOSCOPE_018,5,M,265,OK,4
2017-01-23,ETHOSCOPE_018,6,M,266,OK,4
2017-01-23,ETHOSCOPE_018,7,M,267,OK,4
2017-01-23,ETHOSCOPE_018,8,M,268,OK,4
2017-01-23,ETHOSCOPE_018,9,M,269,OK,4
2017-01-23,ETHOSCOPE_018,10,M,270,OK,4
2017-01-23,ETHOSCOPE_018,11,M,271,OK,4
2017-01-23,ETHOSCOPE_018,12,M,272,OK,4
2017-01-23,ETHOSCOPE_018,13,M,273,OK,4
2017-01-23,ETHOSCOPE_018,14,M,274,OK,4
2017-01-23,ETHOSCOPE_018,15,M,275,OK,4
2017-01-23,ETHOSCOPE_018,16,M,276,OK,4
2017-01-23,ETHOSCOPE_018,17,M,277,OK,4
2017-01-23,ETHOSCOPE_018,18,M,278,OK,4
2017-01-23,ETHOSCOPE_018,19,M,279,OK,4
2017-01-23,ETHOSCOPE_018,20,M,280,OK,4
2017-01-23,ETHOSCOPE_046,1,M,281,OK,4
2017-01-23,ETHOSCOPE_046,2,M,282,OK,4
2017-01-23,ETHOSCOPE_046,3,M,283,OK,4
2017-01-23,ETHOSCOPE_046,4,M,284,OK,4
2017-01-23,ETHOSCOPE_046,5,M,285,OK,4
2017-01-23,ETHOSCOPE_046,6,M,286,OK,4
2017-01-23,ETHOSCOPE_046,7,M,287,OK,4
2017-01-23,ETHOSCOPE_046,8,M,288,OK,4
2017-01-23,ETHOSCOPE_046,9,M,289,OK,4
2017-01-23,ETHOSCOPE_046,10,M,290,OK,4
2017-01-23,ETHOSCOPE_046,11,M,291,OK,4
2017-01-23,ETHOSCOPE_046,12,M,292,OK,4
2017-01-23,ETHOSCOPE_046,13,M,293,OK,4
2017-01-23,ETHOSCOPE_046,14,M,294,OK,4
2017-01-23,ETHOSCOPE_046,15,M,295,OK,4
2017-01-23,ETHOSCOPE_046,16,M,296,OK,4
2017-01-23,ETHOSCOPE_046,17,M,297,OK,4
2017-01-23,ETHOSCOPE_046,18,M,298,OK,4
2017-01-23,ETHOSCOPE_046,19,M,299,OK,4
2017-01-23,ETHOSCOPE_046,20,M,300,OK,4
2017-01-23,ETHOSCOPE_026,1,M,301,OK,4
2017-01-23,ETHOSCOPE_026,2,M,302,OK,4
2017-01-23,ETHOSCOPE_026,3,M,303,OK,4
2017-01-23,ETHOSCOPE_026,4,M,304,OK,4
2017-01-23,ETHOSCOPE_026,5,M,305,OK,4
2017-01-23,ETHOSCOPE_026,6,M,306,OK,4
2017-01-23,ETHOSCOPE_026,7,M,307,OK,4
2017-01-23,ETHOSCOPE_026,8,M,308,OK,4
2017-01-23,ETHOSCOPE_026,9,M,309,OK,4
2017-01-23,ETHOSCOPE_026,10,M,310,OK,4
2017-01-23,ETHOSCOPE_026,11,M,311,OK,4
2017-01-23,ETHOSCOPE_026,12,M,312,OK,4
2017-01-23,ETHOSCOPE_026,13,M,313,OK,4
2017-01-23,ETHOSCOPE_026,14,M,314,OK,4
2017-01-23,ETHOSCOPE_026,15,M,315,OK,4
2017-01-23,ETHOSCOPE_026,16,M,316,OK,4
2017-01-23,ETHOSCOPE_026,17,M,317,OK,4
2017-01-23,ETHOSCOPE_026,18,M,318,OK,4
2017-01-23,ETHOSCOPE_026,19,M,319,OK,4
2017-01-23,ETHOSCOPE_026,20,M,320,OK,4
2017-01-23,ETHOSCOPE_052,1,M,321,OK,4
2017-01-23,ETHOSCOPE_052,2,M,322,OK,4
2017-01-23,ETHOSCOPE_052,3,M,323,OK,4
2017-01-23,ETHOSCOPE_052,4,M,324,OK,4
2017-01-23,ETHOSCOPE_052,5,M,325,OK,4
2017-01-23,ETHOSCOPE_052,6,M,326,OK,4
2017-01-23,ETHOSCOPE_052,7,M,327,OK,4
2017-01-23,ETHOSCOPE_052,8,M,328,OK,4
2017-01-23,ETHOSCOPE_052,9,M,329,OK,4
2017-01-23,ETHOSCOPE_052,10,M,330,OK,4
2017-01-23,ETHOSCOPE_052,11,M,331,OK,4
2017-01-23,ETHOSCOPE_052,12,M,332,OK,4
2017-01-23,ETHOSCOPE_052,13,M,333,OK,4
2017-01-23,ETHOSCOPE_052,14,M,334,OK,4
2017-01-23,ETHOSCOPE_052,15,M,335,OK,4
2017-01-23,ETHOSCOPE_052,16,M,336,OK,4
2017-01-23,ETHOSCOPE_052,17,M,337,OK,4
2017-01-23,ETHOSCOPE_052,18,M,338,OK,4
2017-01-23,ETHOSCOPE_052,19,M,339,OK,4
2017-01-23,ETHOSCOPE_052,20,M,340,OK,4
2017-01-23,ETHOSCOPE_047,1,M,341,OK,4
2017-01-23,ETHOSCOPE_047,2,M,342,OK,4
2017-01-23,ETHOSCOPE_047,3,M,343,OK,4
2017-01-23,ETHOSCOPE_047,4,M,344,OK,4
2017-01-23,ETHOSCOPE_047,5,M,345,OK,4
2017-01-23,ETHOSCOPE_047,6,M,346,OK,4
2017-01-23,ETHOSCOPE_047,7,M,347,OK,4
2017-01-23,ETHOSCOPE_047,8,M,348,OK,4
2017-01-23,ETHOSCOPE_047,9,M,349,OK,4
2017-01-23,ETHOSCOPE_047,10,M,350,OK,4
2017-01-23,ETHOSCOPE_047,11,M,351,OK,4
2017-01-23,ETHOSCOPE_047,12,M,352,OK,4
2017-01-23,ETHOSCOPE_047,13,M,353,OK,4
2017-01-23,ETHOSCOPE_047,14,M,354,OK,4
2017-01-23,ETHOSCOPE_047,15,M,355,OK,4
2017-01-23,ETHOSCOPE_047,16,M,356,OK,4
2017-01-23,ETHOSCOPE_047,17,M,357,OK,4
2017-01-23,ETHOSCOPE_047,18,M,358,OK,4
2017-01-23,ETHOSCOPE_047,19,M,359,OK,4
2017-01-23,ETHOSCOPE_047,20,M,360,OK,4
2017-01-23,ETHOSCOPE_030,1,F,361,OK,4
2017-01-23,ETHOSCOPE_030,2,F,362,OK,4
2017-01-23,ETHOSCOPE_030,3,F,363,OK,4
2017-01-23,ETHOSCOPE_030,4,F,364,OK,4
2017-01-23,ETHOSCOPE_030,5,F,365,OK,4
2017-01-23,ETHOSCOPE_030,6,F,366,OK,4
2017-01-23,ETHOSCOPE_030,7,F,367,OK,4
2017-01-23,ETHOSCOPE_030,8,F,368,OK,4
2017-01-23,ETHOSCOPE_030,9,F,369,OK,4
2017-01-23,ETHOSCOPE_030,10,F,370,OK,4
2017-01-23,ETHOSCOPE_030,11,F,371,OK,4
2017-01-23,ETHOSCOPE_030,12,F,372,OK,4
2017-01-23,ETHOSCOPE_030,13,F,373,OK,4
2017-01-23,ETHOSCOPE_030,14,F,374,OK,4
2017-01-23,ETHOSCOPE_030,15,F,375,OK,4
2017-01-23,ETHOSCOPE_030,16,F,376,OK,4
2017-01-23,ETHOSCOPE_030,17,F,377,OK,4
2017-01-23,ETHOSCOPE_030,18,F,378,OK,4
2017-01-23,ETHOSCOPE_030,19,F,379,OK,4
2017-01-23,ETHOSCOPE_030,20,F,380,OK,4
2017-01-23,ETHOSCOPE_053,1,F,381,OK,4
2017-01-23,ETHOSCOPE_053,2,F,382,OK,4
2017-01-23,ETHOSCOPE_053,3,F,383,OK,4
2017-01-23,ETHOSCOPE_053,4,F,384,OK,4
2017-01-23,ETHOSCOPE_053,5,F,385,OK,4
2017-01-23,ETHOSCOPE_053,6,F,386,OK,4
2017-01-23,ETHOSCOPE_053,7,F,387,OK,4
2017-01-23,ETHOSCOPE_053,8,F,388,OK,4
2017-01-23,ETHOSCOPE_053,9,F,389,OK,4
2017-01-23,ETHOSCOPE_053,10,F,390,OK,4
2017-01-23,ETHOSCOPE_053,11,F,391,OK,4
2017-01-23,ETHOSCOPE_053,12,F,392,OK,4
2017-01-23,ETHOSCOPE_053,13,F,393,OK,4
2017-01-23,ETHOSCOPE_053,14,F,394,OK,4
2017-01-23,ETHOSCOPE_053,15,F,395,OK,4
2017-01-23,ETHOSCOPE_053,16,F,396,OK,4
2017-01-23,ETHOSCOPE_053,17,F,397,OK,4
2017-01-23,ETHOSCOPE_053,18,F,398,OK,4
2017-01-23,ETHOSCOPE_053,19,F,399,OK,4
2017-01-23,ETHOSCOPE_053,20,F,400,OK,4
2017-01-23,ETHOSCOPE_057,1,F,401,OK,4
2017-01-23,ETHOSCOPE_057,2,F,402,OK,4
2017-01-23,ETHOSCOPE_057,3,F,403,OK,4
2017-01-23,ETHOSCOPE_057,4,F,404,OK,4
2017-01-23,ETHOSCOPE_057,5,F,405,OK,4
2017-01-23,ETHOSCOPE_057,6,F,406,OK,4
2017-01-23,ETHOSCOPE_057,7,F,407,OK,4
2017-01-23,ETHOSCOPE_057,8,F,408,OK,4
2017-01-23,ETHOSCOPE_057,9,F,409,OK,4
2017-01-23,ETHOSCOPE_057,10,F,410,OK,4
2017-01-23,ETHOSCOPE_057,11,F,411,OK,4
2017-01-23,ETHOSCOPE_057,12,F,412,OK,4
2017-01-23,ETHOSCOPE_057,13,F,413,OK,4
2017-01-23,ETHOSCOPE_057,14,F,414,OK,4
2017-01-23,ETHOSCOPE_057,15,F,415,OK,4
2017-01-23,ETHOSCOPE_057,16,F,416,OK,4
2017-01-23,ETHOSCOPE_057,17,F,417,OK,4
2017-01-23,ETHOSCOPE_057,18,F,418,OK,4
2017-01-23,ETHOSCOPE_057,19,F,419,OK,4
2017-01-23,ETHOSCOPE_057,20,F,420,OK,4
2017-01-23,ETHOSCOPE_027,1,F,421,OK,4
2017-01-23,ETHOSCOPE_027,2,F,422,OK,4
2017-01-23,ETHOSCOPE_027,3,F,423,OK,4
2017-01-23,ETHOSCOPE_027,4,F,424,OK,4
2017-01-23,ETHOSCOPE_027,5,F,425,OK,4
2017-01-23,ETHOSCOPE_027,6,F,426,OK,4
2017-01-23,ETHOSCOPE_027,7,F,427,OK,4
2017-01-23,ETHOSCOPE_027,8,F,428,OK,4
2017-01-23,ETHOSCOPE_027,9,F,429,OK,4
2017-01-23,ETHOSCOPE_027,10,F,430,OK,4
2017-01-23,ETHOSCOPE_027,11,F,431,OK,4
2017-01-23,ETHOSCOPE_027,12,F,432,OK,4
2017-01-23,ETHOSCOPE_027,13,F,433,OK,4
2017-01-23,ETHOSCOPE_027,14,F,434,OK,4
2017-01-23,ETHOSCOPE_027,15,F,435,OK,4
2017-01-23,ETHOSCOPE_027,16,F,436,OK,4
2017-01-23,ETHOSCOPE_027,17,F,437,OK,4
2017-01-23,ETHOSCOPE_027,18,F,438,OK,4
2017-01-23,ETHOSCOPE_027,19,F,439,OK,4
2017-01-23,ETHOSCOPE_027,20,F,440,OK,4
2017-01-23,ETHOSCOPE_040,1,F,441,OK,4
2017-01-23,ETHOSCOPE_040,2,F,442,OK,4
