date,machine_name,region_id,sex,sdi,baseline_days,status,video_region_id,video
2016-04-04,ETHOSCOPE_033,1,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,2,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,3,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,4,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,5,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,6,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,7,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,8,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,9,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,10,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,11,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,12,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,13,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,14,M,10,4,dead,None,None
2016-04-04,ETHOSCOPE_033,15,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,16,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,17,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,18,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_033,19,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_033,20,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,1,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,2,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,3,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,4,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,5,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,6,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,7,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,8,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,9,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,10,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,11,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,12,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,13,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,14,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,15,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,16,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,17,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,18,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_009,19,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_009,20,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,1,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,2,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,3,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,4,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,5,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,6,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,7,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,8,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,9,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,10,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,11,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,12,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,13,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,14,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,15,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,16,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,17,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,18,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_035,19,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_035,20,M,10,4,not_turned,None,None
2016-04-04,ETHOSCOPE_007,1,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,2,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,3,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,4,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,5,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,6,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,7,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,8,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,9,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,10,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,11,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,12,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,13,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,14,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,15,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,16,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,17,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,18,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_007,19,M,0,4,OK,None,None
2016-04-04,ETHOSCOPE_007,20,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_019,1,M,10,4,OK,None,None
2016-04-04,ETHOSCOPE_019,2,M,0,4,OK,None,None
