date,machine_name,region_id,sex,sdi,baseline_days,status,uid,death_date,was_na
2017-02-09,ETHOSCOPE_047,1,M,10,3,OK,1,2017-03-16,FALSE
2017-02-09,ETHOSCOPE_047,2,M,0,3,OK,2,2017-03-09,FALSE
2017-02-09,ETHOSCOPE_047,3,M,10,3,OK,3,2017-03-12,FALSE
2017-02-09,ETHOSCOPE_047,4,M,0,3,OK,4,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_047,5,M,10,3,OK,5,2017-02-12,TRUE
2017-02-09,ETHOSCOPE_047,6,M,0,3,OK,6,2017-03-15,FALSE
2017-02-09,ETHOSCOPE_047,7,M,10,3,OK,7,2017-03-07,FALSE
2017-02-09,ETHOSCOPE_047,8,M,0,3,OK,8,2017-03-06,FALSE
2017-02-09,ETHOSCOPE_047,9,M,10,3,OK,9,2017-03-09,FALSE
2017-02-09,ETHOSCOPE_047,10,M,0,3,OK,10,2017-02-28,FALSE
2017-02-09,ETHOSCOPE_047,11,M,0,3,OK,11,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_047,12,M,10,3,OK,12,2017-03-11,FALSE
2017-02-09,ETHOSCOPE_047,13,M,0,3,OK,13,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_047,14,M,10,3,OK,14,2017-02-15,TRUE
2017-02-09,ETHOSCOPE_047,15,M,0,3,OK,15,2017-03-16,FALSE
2017-02-09,ETHOSCOPE_047,16,M,10,3,OK,16,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_047,17,M,0,3,OK,17,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_047,18,M,10,3,OK,18,2017-03-07,FALSE
2017-02-09,ETHOSCOPE_047,19,M,0,3,OK,19,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_047,20,M,10,3,OK,20,2017-03-13,FALSE
2017-02-09,ETHOSCOPE_027,1,M,10,3,OK,21,2017-03-15,FALSE
2017-02-09,ETHOSCOPE_027,2,M,0,3,OK,22,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_027,3,M,10,3,OK,23,2017-03-07,FALSE
2017-02-09,ETHOSCOPE_027,4,M,0,3,OK,24,2017-03-09,FALSE
2017-02-09,ETHOSCOPE_027,5,M,10,3,OK,25,2017-03-03,FALSE
2017-02-09,ETHOSCOPE_027,6,M,0,3,OK,26,2017-03-12,FALSE
2017-02-09,ETHOSCOPE_027,7,M,10,3,OK,27,2017-03-13,FALSE
2017-02-09,ETHOSCOPE_027,8,M,0,3,OK,28,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_027,9,M,10,3,OK,29,2017-03-07,FALSE
2017-02-09,ETHOSCOPE_027,10,M,0,3,OK,30,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_027,11,M,0,3,OK,31,2017-03-06,FALSE
2017-02-09,ETHOSCOPE_027,12,M,10,3,OK,32,2017-03-09,FALSE
2017-02-09,ETHOSCOPE_027,13,M,0,3,OK,33,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_027,14,M,10,3,OK,34,2017-03-06,FALSE
2017-02-09,ETHOSCOPE_027,15,M,0,3,OK,35,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_027,16,M,10,3,OK,36,2017-03-07,FALSE
2017-02-09,ETHOSCOPE_027,17,M,0,3,OK,37,2017-02-13,FALSE
2017-02-09,ETHOSCOPE_027,18,M,10,3,OK,38,2017-03-13,FALSE
2017-02-09,ETHOSCOPE_027,19,M,0,3,OK,39,2017-03-06,FALSE
2017-02-09,ETHOSCOPE_027,20,M,10,3,OK,40,2017-03-16,FALSE
2017-02-09,ETHOSCOPE_018,1,M,10,3,OK,41,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_018,2,M,0,3,OK,42,2017-03-04,FALSE
2017-02-09,ETHOSCOPE_018,3,M,10,3,OK,43,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_018,4,M,0,3,OK,44,2017-03-12,FALSE
2017-02-09,ETHOSCOPE_018,5,M,10,3,OK,45,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_018,6,M,0,3,OK,46,2017-03-13,FALSE
2017-02-09,ETHOSCOPE_018,7,M,10,3,OK,47,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_018,8,M,0,3,OK,48,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_018,9,M,10,3,OK,49,2017-03-08,FALSE
2017-02-09,ETHOSCOPE_018,10,M,0,3,OK,50,2017-03-03,FALSE
2017-02-09,ETHOSCOPE_018,11,M,0,3,OK,51,2017-03-09,FALSE
2017-02-09,ETHOSCOPE_018,12,M,10,3,OK,52,Inf,TRUE
2017-02-09,ETHOSCOPE_018,13,M,0,3,OK,53,2017-03-11,FALSE
2017-02-09,ETHOSCOPE_018,14,M,10,3,OK,54,2017-03-07,FALSE
2017-02-09,ETHOSCOPE_018,15,M,0,3,OK,55,2017-03-07,FALSE
2017-02-09,ETHOSCOPE_018,16,M,10,3,OK,56,2017-03-10,FALSE
2017-02-09,ETHOSCOPE_018,17,M,0,3,OK,57,2017-03-17,FALSE
2017-02-09,ETHOSCOPE_018,18,M,10,3,OK,58,2017-03-15,FALSE
2017-02-09,ETHOSCOPE_018,19,M,0,3,OK,59,2017-02-22,TRUE
2017-02-09,ETHOSCOPE_018,20,M,10,3,OK,60,Inf,TRUE
2017-02-09,ETHOSCOPE_040,1,M,10,3,OK,61,Inf,TRUE
2017-02-09,ETHOSCOPE_040,2,M,0,3,OK,62,Inf,TRUE
2017-02-09,ETHOSCOPE_040,3,M,10,3,OK,63,Inf,TRUE
2017-02-09,ETHOSCOPE_040,4,M,0,3,OK,64,Inf,TRUE
2017-02-09,ETHOSCOPE_040,5,M,10,3,OK,65,Inf,TRUE
2017-02-09,ETHOSCOPE_040,6,M,0,3,OK,66,Inf,TRUE
2017-02-09,ETHOSCOPE_040,7,M,10,3,OK,67,Inf,TRUE
2017-02-09,ETHOSCOPE_040,8,M,0,3,OK,68,Inf,TRUE
2017-02-09,ETHOSCOPE_040,9,M,10,3,OK,69,Inf,TRUE
2017-02-09,ETHOSCOPE_040,10,M,0,3,OK,70,2017-02-17,TRUE
2017-02-09,ETHOSCOPE_040,11,M,0,3,OK,71,Inf,TRUE
2017-02-09,ETHOSCOPE_040,12,M,10,3,OK,72,Inf,TRUE
2017-02-09,ETHOSCOPE_040,13,M,0,3,OK,73,Inf,TRUE
2017-02-09,ETHOSCOPE_040,14,M,10,3,OK,74,Inf,TRUE
2017-02-09,ETHOSCOPE_040,15,M,0,3,OK,75,Inf,TRUE
2017-02-09,ETHOSCOPE_040,16,M,10,3,OK,76,Inf,TRUE
2017-02-09,ETHOSCOPE_040,17,M,0,3,OK,77,Inf,TRUE
2017-02-09,ETHOSCOPE_040,18,M,10,3,OK,78,Inf,TRUE
2017-02-09,ETHOSCOPE_040,19,M,0,3,OK,79,Inf,TRUE
2017-02-09,ETHOSCOPE_040,20,M,10,3,OK,80,Inf,TRUE
